AECI,1278
AESO,1551
AT,1442
AVA,606
AZPS,813
BANC,817
BCHYDRO,995
BE,823
BPA,522
CAISO_ESCONDIDO,777
CAISO_LONGBEACH,794
CAISO_NORTH,40
CAISO_PALMSPRINGS,794
CAISO_REDDING,794
CAISO_SANBERNARDINO,794
CAISO_SANDIEGO,779
CHPD,550
CPLE,1895
CPLW,1907
CZ,1392
DE,1634
DK,1482
DOPD,512
DUK,1538
EE,1345
ELE,930
ERCOT_AUSTIN,1192
ERCOT_COAST,1192
ERCOT_EASTTX,1192
ERCOT_HIDALGO,1192
ERCOT_NORTHCENTRAL,0
ERCOT_PANHANDLE,870
ERCOT_SANANTONIO,1192
ERCOT_SECOAST,1192
ERCOT_SOUTHTX,1192
ERCOT_WESTTX,941
ES,780
FI,1269
FMPP,947
FPC,1113
FPL,756
FR,790
GCPD,550
GR,881
GVL,1605
HQ,1076
HST,896
HU,1347
IE,1307
IESO_NORTH,1100
IESO_SOUTH,1100
IESO_WEST,1100
IID,794
IPCO,1426
ISONE_CT,699
ISONE_ME,699
ISONE_NEMA,699
ISONE_NH,699
ISONE_RI,699
ISONE_SEMA,699
ISONE_VT,699
ISONE_WCMA,699
IT,826
JEA,1117
LDWP,936
LGEE,1477
LT,791
LV,1525
MISO_BEAUMONT,1580
MISO_DETROIT,1580
MISO_EAU_CLAIRE,1580
MISO_GRAND_RAPIDS,1580
MISO_INDIANAPOLIS,1580
MISO_LAFAYETTE,1580
MISO_LOWER_MS_RIVER,1580
MISO_MADISON,1580
MISO_MASON_CITY,1580
MISO_MINNEAPOLIS,1580
MISO_NEW_ORLEANS,1580
MISO_N_DAKOTA,1580
MISO_SAINT_LOUIS,1580
MISO_SPRINGFIELD,1580
MISO_UPPER_PENINSULA,1580
MISO_WORTHINGTON,1580
MPCO,1526
NEM_NSW,1639
NEM_QLD,1573
NEM_SA,1116
NEM_TAS,1116
NEM_VIC,1271
NEVP,874
NL,881
NO,1338
NYISO_CAPITAL,1020
NYISO_CENTRAL,1020
NYISO_HUDSON,1020
NYISO_LONG,1020
NYISO_MOHAWK,686
NYISO_NORTH,0
NYISO_NYC,1020
NYISO_WEST,1020
PACE,1128
PACW,550
PGE,537
PJM_CHICAGO,1231
PJM_DC,1231
PJM_EASTERN_KY,1231
PJM_EASTERN_OH,1231
PJM_NJ,1231
PJM_ROANOKE,1231
PJM_SOUTHWEST_OH,1231
PJM_WESTERN_KY,1231
PL,1811
PNM,1140
PSCO,1489
PSEI,589
PT,672
RO,1076
RS,1275
SC,1490
SCEG,781
SCL,533
SE,1232
SEC,1213
SI,1204
SK,1282
SOCO,1282
SPA,1583
SPP_FORTPECK,1485
SPP_KANSAS,930
SPP_KC,0
SPP_MEMPHIS,1485
SPP_ND,1485
SPP_OKCTY,1389
SPP_SIOUX,1051
SPP_SPRINGFIELD,1485
SPP_SWOK,1431
SPP_TX,1199
SPP_WESTNE,962
SRP,860
TAL,881
TEC,1126
TEPC,1156
TID,812
TPWR,550
TVA,1216
UK,1011
WACM,1650
WALC,923
WAUW,1485
WEM,1492
